#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
PNFGHFNJ_04718	1	495	76	495	100	10.8242	36.9	48.6
PNFGHFNJ_04719	1	609	58	609	100	9.75369	36.7	54.3
PNFGHFNJ_04720	1	348	16	348	100	5.60345	36.5	60
PNFGHFNJ_04721	1	138	15	138	100	8.15942	37.4	41.3
PNFGHFNJ_04722	1	432	31	432	100	4.77083	37.5	57.8
PNFGHFNJ_04723	1	444	16	444	100	6.5	36.7	60
PNFGHFNJ_04724	1	372	28	372	100	5.28495	36.7	56.9
PNFGHFNJ_04725	1	207	32	207	100	6.86957	36.3	50.7
PNFGHFNJ_04726	1	204	26	204	100	10.0343	36.5	55.7
PNFGHFNJ_04727	1	207	13	207	100	4.31884	37.2	55.8
PNFGHFNJ_04728	1	507	34	507	100	5.3925	37.1	55.6
PNFGHFNJ_04729	1	357	19	357	100	5.60224	36.6	51.6
PNFGHFNJ_04730	1	213	7	213	100	1.28169	37	60
PNFGHFNJ_04731	1	582	38	582	100	7.73024	36.2	54.6
PNFGHFNJ_04732	1	123	8	123	100	3.98374	37.7	60
PNFGHFNJ_04733	1	573	40	573	100	6.09773	36.7	56.2
PNFGHFNJ_04734	1	201	38	201	100	13.0945	38.2	59.3
PNFGHFNJ_04735	1	180	8	180	100	8.36111	37.4	60
PNFGHFNJ_04736	1	264	16	264	100	6.47348	36.8	58.8
PNFGHFNJ_04737	1	120	15	120	100	8.31667	36.2	58.7
PNFGHFNJ_04738	1	249	21	249	100	5.74699	36.4	52.6
PNFGHFNJ_04739	1	258	49	258	100	9.02326	34.1	48.2
PNFGHFNJ_04740	1	279	15	279	100	7.10394	37.2	57.2
PNFGHFNJ_04741	1	414	61	414	100	6.69324	35.8	48.3
PNFGHFNJ_04742	1	534	24	534	100	4.70787	36.9	52
PNFGHFNJ_04743	1	231	16	231	100	4.01732	37	57.5
PNFGHFNJ_04744	1	306	34	306	100	10.8954	36.8	59.2
PNFGHFNJ_04745	1	492	56	492	100	11.1341	37.6	59.3
PNFGHFNJ_04746	1	165	16	165	100	10.4485	37.7	60
PNFGHFNJ_04747	1	198	18	198	100	3.43434	37.9	55.6
PNFGHFNJ_04748	1	183	14	183	100	8.96175	37	58.6
PNFGHFNJ_04749	1	642	104	642	100	14.3988	36.6	54.2
PNFGHFNJ_04750	1	288	10	288	100	3.45833	37.4	60
PNFGHFNJ_04751	1	528	41	528	100	5.29167	37.5	57.5
PNFGHFNJ_04752	1	192	111	192	100	41.7656	37.5	47.9
PNFGHFNJ_04753	1	192	40	192	100	24.9844	36	47
PNFGHFNJ_04754	1	135	35	135	100	18.4889	37.3	41.9
PNFGHFNJ_04755	1	396	32	396	100	9.82323	36.6	60
PNFGHFNJ_04756	1	240	17	237	98.75	7.34167	37.2	53.6
PNFGHFNJ_04757	1	189	15	189	100	6.83598	34.1	49.3
PNFGHFNJ_04758	1	390	73	381	97.6923	7.41795	36.3	38.7
PNFGHFNJ_04759	1	243	14	237	97.5309	6.40741	36.1	42.9
PNFGHFNJ_04760	1	741	62	741	100	8.23482	37.2	58.8
PNFGHFNJ_04761	1	303	46	303	100	8.32013	36.6	52.8
PNFGHFNJ_04762	1	564	34	564	100	6.2961	35.7	49.4
PNFGHFNJ_04763	1	330	36	330	100	6.34545	37.4	40.8
PNFGHFNJ_04764	1	201	23	201	100	5.36318	37.2	53.9
PNFGHFNJ_04765	1	537	41	537	100	6.67784	37.2	51.9
PNFGHFNJ_04766	1	498	58	498	100	9.76707	36.6	54.4
PNFGHFNJ_04767	1	249	17	249	100	5.96787	38.2	60
PNFGHFNJ_04768	1	426	26	426	100	5.43192	38.1	58.8
PNFGHFNJ_04769	1	375	26	375	100	7.36	37.5	59.9
PNFGHFNJ_04770	1	426	62	426	100	7.99765	36.4	43.3
PNFGHFNJ_04771	1	168	17	168	100	6.47619	35.9	48.2
PNFGHFNJ_04772	1	279	23	279	100	5.09319	36.9	60
PNFGHFNJ_04773	1	141	14	141	100	11.2482	36.6	60
PNFGHFNJ_04774	1	795	42	795	100	5.80881	35.7	51.5
PNFGHFNJ_04775	1	495	36	495	100	8.30303	37.1	58.9
PNFGHFNJ_04776	1	507	44	456	89.9408	6.87968	36.9	47.9
PNFGHFNJ_04777	1	117	28	117	100	14.6154	36.7	57.9
PNFGHFNJ_04778	1	282	20	282	100	7.29787	36.6	60
PNFGHFNJ_04779	1	606	43	606	100	8.25413	36.5	54
PNFGHFNJ_04780	1	132	9	132	100	2.59091	36.5	57.3
PNFGHFNJ_04781	1	480	38	480	100	8.27917	37	55.2
PNFGHFNJ_04782	1	750	82	750	100	8.208	36.8	54.1
PNFGHFNJ_04783	1	249	12	249	100	6.4498	37.7	58.3
PNFGHFNJ_04784	1	141	22	141	100	8.20567	37.4	55.7
PNFGHFNJ_04785	1	180	17	180	100	7.02778	36.2	56.5
PNFGHFNJ_04786	1	363	32	363	100	7.66942	37.1	49.9
PNFGHFNJ_04787	1	435	21	435	100	5.4046	37.1	54.3
PNFGHFNJ_04788	1	369	28	369	100	4.37398	36.1	55.7
PNFGHFNJ_04789	1	270	44	270	100	17.4667	37.7	56.4
PNFGHFNJ_04790	1	564	56	564	100	9.65603	37.2	58.6
PNFGHFNJ_04791	1	774	138	774	100	9.8863	35.9	41
PNFGHFNJ_04792	1	282	59	282	100	8.13121	35.9	46.4
PNFGHFNJ_04793	1	225	26	225	100	10.7378	36.3	58.5
PNFGHFNJ_04794	1	600	54	600	100	8.89	37.1	56.1
PNFGHFNJ_04795	1	90	10	90	100	3.88889	37.5	59.2
PNFGHFNJ_04796	1	633	36	633	100	6.17536	36.8	53.7
PNFGHFNJ_04797	1	369	16	369	100	3.79404	37.2	60
PNFGHFNJ_04798	1	303	28	303	100	8.9835	36.5	57.6
PNFGHFNJ_04799	1	474	22	474	100	4.62869	37.8	60
PNFGHFNJ_04800	1	234	16	234	100	5.55556	37.4	55
PNFGHFNJ_04801	1	840	75	840	100	10.5071	37.3	59
PNFGHFNJ_04802	1	195	30	195	100	13.1282	37.5	58.7
PNFGHFNJ_04803	1	555	38	555	100	6.99099	37.8	59.3
PNFGHFNJ_04804	1	228	24	228	100	8.02632	37.5	58.3
PNFGHFNJ_04805	1	258	23	258	100	10.0388	35.9	58.3
PNFGHFNJ_04806	1	492	106	492	100	10.2642	35.9	43.2
PNFGHFNJ_04807	1	237	29	237	100	6.31224	37.7	58.9
PNFGHFNJ_04808	1	477	68	477	100	16.4927	37.5	59.4
PNFGHFNJ_04809	1	171	27	171	100	13.8713	38	58.5
PNFGHFNJ_04810	1	279	28	279	100	7.8853	37.4	58.4
PNFGHFNJ_04811	1	774	30	774	100	4.18605	37.1	59.1
PNFGHFNJ_04812	1	414	24	414	100	6.90821	36.3	55.8
PNFGHFNJ_04813	1	426	40	426	100	11.5681	36.9	59
PNFGHFNJ_04814	1	813	114	813	100	10.8093	36.9	52.6
PNFGHFNJ_04815	1	357	22	357	100	5.38375	35.4	56.9
PNFGHFNJ_04816	1	324	26	324	100	10.6235	36.3	54.6
PNFGHFNJ_04817	1	138	28	138	100	9.81884	37.1	55.1
PNFGHFNJ_04818	1	753	86	753	100	10.162	35.6	51.5
PNFGHFNJ_04819	1	345	44	345	100	7.27246	37.2	55.1
PNFGHFNJ_04820	1	222	38	222	100	10.3423	36.3	46.9
PNFGHFNJ_04821	1	489	56	489	100	8.95706	36.5	50.8
PNFGHFNJ_04822	1	414	40	414	100	5.73671	36.5	57.6
PNFGHFNJ_04823	1	201	22	201	100	11.6716	35.3	56.4
PNFGHFNJ_04824	1	288	24	288	100	9.75	37.2	49.8
PNFGHFNJ_04825	1	387	46	387	100	10.4212	36.9	51
PNFGHFNJ_04826	1	147	14	147	100	7.17007	37	60
PNFGHFNJ_04827	1	264	46	264	100	8.19318	37	56.1
PNFGHFNJ_04828	1	396	50	396	100	19.0808	37.9	59.7
PNFGHFNJ_04829	1	399	25	399	100	7.11779	38.1	56.9
PNFGHFNJ_04830	1	417	26	417	100	7.40288	37.4	59.6
PNFGHFNJ_04831	1	330	30	330	100	5.73939	37	49.9
PNFGHFNJ_04832	1	255	66	255	100	8.07451	36.4	48.3
PNFGHFNJ_04833	1	633	138	633	100	30.158	37.9	59.6
PNFGHFNJ_04834	1	816	88	816	100	9.78431	36.5	50.7
PNFGHFNJ_04835	1	177	18	177	100	5.50282	38.1	51.1
PNFGHFNJ_04836	1	426	50	426	100	9.88732	37	47.7
PNFGHFNJ_04837	1	153	16	153	100	8.8366	37.1	60
PNFGHFNJ_04838	1	369	22	369	100	7.34417	37	56.4
PNFGHFNJ_04839	1	522	27	522	100	6.10728	37.4	58.5
PNFGHFNJ_04840	1	402	25	402	100	5.64428	36.1	51.8
PNFGHFNJ_04841	1	168	34	168	100	4.22619	37.7	60
PNFGHFNJ_04842	1	414	50	414	100	17.7246	37.9	58.2
PNFGHFNJ_04843	1	297	54	297	100	19.2121	37.7	57.8
PNFGHFNJ_04844	1	654	77	654	100	10.0612	37	55.1
PNFGHFNJ_04845	1	699	131	698	99.8569	12.5136	35.9	46.9
PNFGHFNJ_04846	1	309	40	291	94.1748	8.93204	36.7	42.4
PNFGHFNJ_04847	1	111	5	111	100	3.90991	37.2	60
PNFGHFNJ_04848	1	240	44	240	100	8.25833	36	51.5
PNFGHFNJ_04849	1	450	42	450	100	8.48889	35.6	48.8
PNFGHFNJ_04850	1	147	15	147	100	6.66667	37.1	59.9
PNFGHFNJ_04851	1	783	152	783	100	11.2874	36.5	46.4
PNFGHFNJ_04852	1	330	24	330	100	6.99091	35.9	55
PNFGHFNJ_04853	1	270	17	270	100	6.47407	36.4	52.9
PNFGHFNJ_04854	1	183	16	183	100	6.68852	37.3	60
PNFGHFNJ_04855	1	636	32	636	100	6.61635	37.5	60
PNFGHFNJ_04856	1	174	21	174	100	8.61494	37.3	57.3
PNFGHFNJ_04857	1	528	36	528	100	5.54356	36.4	52.2
PNFGHFNJ_04858	1	636	50	636	100	8.17138	36.2	56.4
PNFGHFNJ_04859	1	549	42	549	100	8.46448	36.3	58.3
PNFGHFNJ_04860	1	663	42	663	100	6.23077	36.4	56.1
PNFGHFNJ_04861	1	126	2	126	100	4.73016	37.3	60
PNFGHFNJ_04862	1	342	32	342	100	11.3713	37.5	59.4
PNFGHFNJ_04863	1	543	63	543	100	9.96501	36.6	55.3
PNFGHFNJ_04864	1	207	22	207	100	9.34783	36.5	58.2
PNFGHFNJ_04865	1	750	51	750	100	7.448	36.2	57.1
PNFGHFNJ_04866	1	435	26	435	100	7.53333	36.8	56.8
PNFGHFNJ_04867	1	252	30	252	100	7.48413	36.8	55.4
PNFGHFNJ_04868	1	108	3	108	100	4.53704	37.7	60
PNFGHFNJ_04869	1	141	21	141	100	8.02128	36.5	56.1
PNFGHFNJ_04870	1	342	50	342	100	6.99415	36.9	56.8
PNFGHFNJ_04871	1	318	62	318	100	25.5094	37.5	60
PNFGHFNJ_04872	1	666	73	666	100	10.5541	36.1	56.5
PNFGHFNJ_04873	1	696	99	696	100	11.7931	36.7	51.8
PNFGHFNJ_04874	1	129	20	129	100	12.186	35.7	46.6
PNFGHFNJ_04875	1	390	74	390	100	14.1205	36.2	50
PNFGHFNJ_04876	1	90	12	90	100	5.86667	38.2	60
PNFGHFNJ_04877	1	85	11	85	100	13.6941	38	60
PNFGHFNJ_04878	1	621	51	604	97.2625	7.23994	35.5	56
PNFGHFNJ_04879	1	402	26	310	77.1144	4.72388	36.4	51.1
PNFGHFNJ_04880	1	252	51	252	100	8.25	37.2	41.2
PNFGHFNJ_04881	1	114	15	114	100	14.4561	35	59.7
PNFGHFNJ_04882	1	156	20	156	100	9.82051	37.1	53.5
PNFGHFNJ_04883	1	222	14	222	100	5.45946	36.5	51.1
PNFGHFNJ_04884	1	687	45	687	100	6.89229	37.2	59.6
PNFGHFNJ_04885	1	195	12	195	100	2.53846	37.7	58.3
PNFGHFNJ_04886	1	708	46	708	100	6.7613	37.4	57.2
PNFGHFNJ_04887	1	843	110	843	100	10.2989	36.2	47.9
PNFGHFNJ_04888	1	252	38	252	100	7.60317	35.5	54
PNFGHFNJ_04889	1	366	68	366	100	24.5246	37.6	59.4
PNFGHFNJ_04890	1	219	34	219	100	15.6164	37.1	60
PNFGHFNJ_04891	1	228	28	228	100	10.9079	38	59.5
PNFGHFNJ_04892	1	321	50	321	100	12.6698	38.1	58.1
PNFGHFNJ_04893	1	195	16	195	100	10.3077	38.2	58.2
PNFGHFNJ_04894	1	315	30	315	100	9.44762	37.8	58.7
PNFGHFNJ_04895	1	156	26	156	100	16.5	37.6	58.5
PNFGHFNJ_04896	1	174	21	174	100	7.39655	37.8	60
PNFGHFNJ_04897	1	570	20	570	100	5.59298	37.1	58
PNFGHFNJ_04898	1	126	10	126	100	2.34921	37.9	58.6
PNFGHFNJ_04899	1	123	11	123	100	10.1789	35.9	43.1
PNFGHFNJ_04900	1	672	60	672	100	8.28125	36.7	58
PNFGHFNJ_04901	1	219	30	219	100	10.4932	35.2	55.5
PNFGHFNJ_04902	1	438	36	438	100	6.50685	37	54.8
PNFGHFNJ_04903	1	204	23	204	100	6.87255	36.5	36.4
PNFGHFNJ_04904	1	138	16	138	100	7.23188	37.1	57.5
PNFGHFNJ_04905	1	279	69	279	100	19.509	37.9	60
PNFGHFNJ_04906	1	450	48	450	100	14.4733	37.3	59.2
PNFGHFNJ_04907	1	582	108	582	100	10.6031	36.3	41.7
PNFGHFNJ_04908	1	516	42	516	100	8.34109	36.4	57.8
PNFGHFNJ_04909	1	288	30	288	100	8.46528	37.5	55.9
PNFGHFNJ_04910	1	786	64	786	100	8.05598	36.7	59.1
PNFGHFNJ_04911	1	438	26	438	100	6.83105	36.4	54.3
PNFGHFNJ_04912	1	564	39	564	100	5.87943	36.8	48.9
PNFGHFNJ_04913	1	300	36	300	100	13.7333	37.5	60
PNFGHFNJ_04914	1	333	32	333	100	12.5015	37.9	58.6
PNFGHFNJ_04915	1	147	27	147	100	13.8776	36.6	54.1
PNFGHFNJ_04916	1	252	26	252	100	7.75	34.9	55.8
PNFGHFNJ_04917	1	108	20	108	100	8.10185	37	56.3
PNFGHFNJ_04918	1	468	48	468	100	10.2692	36.3	58.6
PNFGHFNJ_04919	1	438	36	438	100	8.39954	35.7	53.7
PNFGHFNJ_04920	1	375	29	375	100	6.544	36.4	51.2
PNFGHFNJ_04921	1	471	56	471	100	10.4013	35.6	51.1
PNFGHFNJ_04922	1	561	42	561	100	5.44385	36.6	53.2
PNFGHFNJ_04923	1	168	12	168	100	4.2381	36.7	60
PNFGHFNJ_04924	1	351	30	351	100	7.47863	36.8	52
PNFGHFNJ_04925	1	528	30	528	100	5.97348	36.9	59.9
PNFGHFNJ_04926	1	261	18	261	100	4.23755	35.2	56.7
PNFGHFNJ_04927	1	225	13	225	100	5.94667	37.7	57.2
PNFGHFNJ_04928	1	195	13	195	100	4.30769	36.8	50.8
PNFGHFNJ_04929	1	642	98	642	100	12.5187	36.2	53.2
PNFGHFNJ_04930	1	465	66	465	100	20.4022	37.8	58
PNFGHFNJ_04931	1	558	44	558	100	7.22581	36.7	54.5
PNFGHFNJ_04932	1	510	88	510	100	8.85098	36	43.3
PNFGHFNJ_04933	1	306	24	306	100	5.86928	35.6	56.4
PNFGHFNJ_04934	1	192	16	192	100	4.20833	36.3	39.2
PNFGHFNJ_04935	1	147	14	147	100	6.32653	36.8	56.9
PNFGHFNJ_04936	1	231	8	231	100	3.91342	36.4	60
PNFGHFNJ_04937	1	76	20	76	100	5.26316	38.1	60
PNFGHFNJ_04938	1	330	222	330	100	56.9152	37.8	59.6
PNFGHFNJ_04939	1	357	48	357	100	29.4454	38.2	58.5
PNFGHFNJ_04940	1	99	9	99	100	5.83838	34.5	47.3
PNFGHFNJ_04941	1	126	27	126	100	7.28571	37.2	57.3
PNFGHFNJ_04942	1	117	24	117	100	12.7009	36.7	59.4
PNFGHFNJ_04943	1	132	14	132	100	12.6061	35.6	50.9
PNFGHFNJ_04944	1	231	22	231	100	5.36797	36.3	50.1
PNFGHFNJ_04945	1	471	20	471	100	4.53928	37.5	58.4
PNFGHFNJ_04946	1	186	6	186	100	4.17204	37.5	60
PNFGHFNJ_04947	1	465	54	465	100	6.88172	36.5	53.7
PNFGHFNJ_04948	1	372	49	372	100	12.793	36.4	50.9
PNFGHFNJ_04949	1	213	20	213	100	8.08451	36.3	57.9
PNFGHFNJ_04950	1	666	46	666	100	6.47147	36.6	58
PNFGHFNJ_04951	1	480	82	480	100	13.5042	36.6	56
PNFGHFNJ_04952	1	564	34	564	100	7.92021	36.3	58
PNFGHFNJ_04953	1	408	31	408	100	7.30882	36.9	56.9
PNFGHFNJ_04954	1	294	28	294	100	5.80612	35.9	48.1
PNFGHFNJ_04955	1	582	89	582	100	11.8832	36.1	54.6
PNFGHFNJ_04956	1	411	52	411	100	7.12409	36.3	41.8
PNFGHFNJ_04957	1	159	20	159	100	10.7547	36.2	57
PNFGHFNJ_04958	1	714	64	714	100	6.85714	36.7	53.1
PNFGHFNJ_04959	1	135	38	135	100	9.36296	36.1	52.1
PNFGHFNJ_04960	1	324	42	324	100	12.0494	36.8	52.7
PNFGHFNJ_04961	1	606	65	606	100	10.1122	37.1	56.5
PNFGHFNJ_04962	1	738	72	738	100	7.22629	36.6	51.1
PNFGHFNJ_04963	1	144	7	144	100	4.20139	35.4	51.4
PNFGHFNJ_04964	1	654	56	654	100	7.27523	36.5	56.7
PNFGHFNJ_04965	1	123	24	123	100	14.2439	36.7	55
PNFGHFNJ_04966	1	267	42	267	100	14.7903	36.8	58.7
PNFGHFNJ_04967	1	162	14	162	100	8.92593	36.4	60
PNFGHFNJ_04968	1	108	18	108	100	6.53704	36.7	57.8
PNFGHFNJ_04969	1	171	16	171	100	10.9357	37.1	60
PNFGHFNJ_04970	1	180	20	180	100	11.7222	37.4	60
PNFGHFNJ_04971	1	354	22	354	100	6.76836	37.5	57.3
PNFGHFNJ_04972	1	603	52	603	100	7.34328	36.2	43.3
PNFGHFNJ_04973	1	546	60	546	100	9.52564	36.6	56.1
PNFGHFNJ_04974	1	543	76	501	92.2652	8.8232	36.3	46.3
PNFGHFNJ_04975	1	405	38	371	91.6049	7.6321	36.3	56.5
PNFGHFNJ_04976	1	165	33	165	100	13.0424	36	49.5
PNFGHFNJ_04977	1	189	16	189	100	4.7672	36.2	60
PNFGHFNJ_04978	1	165	18	165	100	9.32121	37.1	52.9
PNFGHFNJ_04979	1	105	6	105	100	2.97143	37.5	60
PNFGHFNJ_04980	1	168	34	168	100	13.6548	36	43.9
PNFGHFNJ_04981	1	489	39	489	100	7.84254	36.1	54.2
PNFGHFNJ_04982	1	192	29	192	100	11.7396	36.8	48.7
PNFGHFNJ_04983	1	135	19	135	100	4.99259	35.6	48.7
PNFGHFNJ_04984	1	750	82	750	100	8.304	37	52.3
PNFGHFNJ_04985	1	126	10	126	100	4.46032	37.7	60
PNFGHFNJ_04986	1	774	64	774	100	8.0646	36.2	53.6
PNFGHFNJ_04987	1	402	39	402	100	6	35.9	44.7
PNFGHFNJ_04988	1	570	36	538	94.386	5.01579	36.8	51.7
PNFGHFNJ_04989	1	156	8	156	100	6	37	57.5
PNFGHFNJ_04990	1	282	36	282	100	13.2163	38	58.8
PNFGHFNJ_04991	1	651	92	651	100	11.2181	36.9	54.6
PNFGHFNJ_04992	1	138	26	138	100	10.2899	35.9	29.8
PNFGHFNJ_04993	1	156	12	156	100	6.16667	37.2	52.7
PNFGHFNJ_04994	1	372	33	372	100	6.8871	36.5	57.6
PNFGHFNJ_04995	1	138	9	138	100	11.6594	36.7	60
PNFGHFNJ_04996	1	531	49	531	100	6.3145	35.8	47.3
PNFGHFNJ_04997	1	420	26	420	100	5.72857	37.8	56.9
PNFGHFNJ_04998	1	159	14	159	100	8.89937	37.4	60
PNFGHFNJ_04999	1	402	38	400	99.5025	6.33582	36	52.9
PNFGHFNJ_05000	1	180	22	180	100	11.3889	37.4	56.4
PNFGHFNJ_05001	1	768	53	768	100	8.61979	36.6	57.8
PNFGHFNJ_05002	1	510	42	510	100	6.82941	36.3	48.4
PNFGHFNJ_05003	1	324	44	324	100	7.42284	35.8	52.1
PNFGHFNJ_05004	1	321	43	321	100	10.1371	36.7	50.5
PNFGHFNJ_05005	1	357	50	357	100	8.54622	36.3	47.6
PNFGHFNJ_05006	1	96	10	96	100	6.04167	37	50
PNFGHFNJ_05007	1	729	42	729	100	6.58985	36.5	51.4
PNFGHFNJ_05008	1	360	46	360	100	8.14722	35.4	43.4
PNFGHFNJ_05009	1	96	15	96	100	4.91667	37	47.6
PNFGHFNJ_05010	1	828	58	828	100	6.74155	37	57.2
PNFGHFNJ_05011	1	357	30	343	96.0784	5.77591	36.4	39.1
PNFGHFNJ_05012	1	510	97	468	91.7647	7.88039	36.7	37
PNFGHFNJ_05013	1	495	86	495	100	9.61414	36.2	41.9
PNFGHFNJ_05014	1	282	18	282	100	8.0922	37.3	60
PNFGHFNJ_05015	1	519	61	519	100	7.90173	37	47.6
PNFGHFNJ_05016	1	378	31	378	100	5.77513	35.8	51.1
PNFGHFNJ_05017	1	618	67	618	100	9.63269	35.9	55.3
PNFGHFNJ_05018	1	210	22	210	100	7.75238	35.8	52.2
PNFGHFNJ_05019	1	111	10	111	100	3.11712	37.7	58
PNFGHFNJ_05020	1	159	4	159	100	4.4717	36.9	60
PNFGHFNJ_05021	1	501	37	501	100	6.25549	35.8	58.2
PNFGHFNJ_05022	1	291	31	291	100	9.82474	36.2	53.5
PNFGHFNJ_05023	1	342	34	342	100	7.88304	37.1	56.4
PNFGHFNJ_05024	1	171	26	171	100	6.25731	37.1	56.7
PNFGHFNJ_05025	1	318	26	318	100	9.81132	35.7	52.2
PNFGHFNJ_05026	1	219	38	219	100	10.1096	35.5	45.8
PNFGHFNJ_05027	1	186	176	186	100	33.7527	37.8	25.8
PNFGHFNJ_05028	1	399	14	361	90.4762	4.89724	36.9	50.4
PNFGHFNJ_05029	1	498	46	473	94.9799	5.63855	37.2	52.4
PNFGHFNJ_05030	1	399	32	399	100	8.9599	36.6	56.1
PNFGHFNJ_05031	1	306	13	306	100	5.28105	36.1	56.9
PNFGHFNJ_05032	1	447	38	447	100	4.71141	36.4	47.8
PNFGHFNJ_05033	1	246	22	246	100	6.11382	37	59.1
PNFGHFNJ_05034	1	189	26	189	100	13.7672	37.4	60
PNFGHFNJ_05035	1	333	30	333	100	8.42643	38	57.9
PNFGHFNJ_05036	1	513	36	513	100	6.66667	37.5	53.3
PNFGHFNJ_05037	1	324	24	324	100	6.08025	37.3	53.3
PNFGHFNJ_05038	1	270	12	270	100	4.34074	38.1	59.5
PNFGHFNJ_05039	1	186	10	186	100	4.8172	36.5	59.4
PNFGHFNJ_05040	1	183	18	183	100	3.67213	37.3	60
PNFGHFNJ_05041	1	411	40	411	100	6.89538	36.7	53.5
PNFGHFNJ_05042	1	159	20	159	100	15.673	37.5	49.9
PNFGHFNJ_05043	1	279	59	279	100	16.7276	37.6	55.8
PNFGHFNJ_05044	1	117	8	117	100	2.87179	37	54.9
PNFGHFNJ_05045	1	264	32	264	100	12.5758	37.9	60
PNFGHFNJ_05046	1	279	30	279	100	11.5878	36.9	60
PNFGHFNJ_05047	1	237	34	237	100	13.2616	37.7	58.5
PNFGHFNJ_05048	1	639	64	618	96.7136	8.73083	36.5	48.6
PNFGHFNJ_05049	1	321	40	309	96.2617	8.53583	37.1	49.9
PNFGHFNJ_05050	1	222	16	222	100	7.35135	36.1	45
PNFGHFNJ_05051	1	396	30	396	100	6.73737	37.4	53.6
PNFGHFNJ_05052	1	300	14	300	100	5.04	37.3	55.7
PNFGHFNJ_05053	1	213	16	213	100	4.88263	35.9	56.2
PNFGHFNJ_05054	1	216	32	216	100	9.17593	36.4	52.9
PNFGHFNJ_05055	1	480	40	480	100	8.69375	36.8	59.3
PNFGHFNJ_05056	1	516	39	516	100	7.02132	36.7	59
PNFGHFNJ_05057	1	83	10	83	100	10.0482	34.7	60
PNFGHFNJ_05058	1	255	18	255	100	5.38039	36.7	49
PNFGHFNJ_05059	1	396	51	396	100	10.0025	36.5	55.1
PNFGHFNJ_05060	1	612	32	612	100	5.70588	37	55.9
PNFGHFNJ_05061	1	789	100	789	100	12.4994	36.7	56.5
PNFGHFNJ_05062	1	288	30	288	100	6.61111	36.3	53.8
PNFGHFNJ_05063	1	237	58	237	100	16.4641	37.1	47.6
PNFGHFNJ_05064	1	129	20	129	100	6.93798	35.3	48.4
PNFGHFNJ_05065	1	231	24	231	100	9.33333	36.9	58.3
PNFGHFNJ_05066	1	186	14	186	100	6.93548	35	57.1
PNFGHFNJ_05067	1	135	22	135	100	5.11111	37	52
PNFGHFNJ_05068	1	234	21	234	100	6.24786	36.1	59
PNFGHFNJ_05069	1	111	8	111	100	11.5676	36.7	60
PNFGHFNJ_05070	1	840	107	840	100	8.43929	35.8	48.1
PNFGHFNJ_05071	1	777	88	777	100	9.92664	37.4	57.5
PNFGHFNJ_05072	1	339	34	339	100	4.86136	37.3	56.1
PNFGHFNJ_05073	1	213	28	213	100	10.4225	36.7	43.9
PNFGHFNJ_05074	1	102	4	102	100	4.5098	37.6	60
PNFGHFNJ_05075	1	465	42	465	100	7.44731	36.6	53.3
PNFGHFNJ_05076	1	96	43	96	100	5.20833	35.9	57.2
PNFGHFNJ_05077	1	231	140	231	100	40.2165	37.5	60
PNFGHFNJ_05078	1	267	82	267	100	58.4794	37.9	60
PNFGHFNJ_05079	1	237	151	237	100	75.8354	37.5	60
PNFGHFNJ_05080	1	387	32	387	100	7.77261	35.5	48.4
PNFGHFNJ_05081	1	399	35	399	100	10.5238	36.8	59.7
PNFGHFNJ_05082	1	552	26	552	100	4.74457	37.1	58.5
PNFGHFNJ_05083	1	396	82	396	100	13.7828	36.4	51.1
PNFGHFNJ_05084	1	327	32	327	100	7.92661	37	47.5
PNFGHFNJ_05085	1	336	50	336	100	13.2351	36.3	51.2
PNFGHFNJ_05086	1	684	78	684	100	10.3523	36.8	54.8
PNFGHFNJ_05087	1	522	64	522	100	10.0556	36.1	52.2
PNFGHFNJ_05088	1	828	100	828	100	9.63043	36.5	51.8
PNFGHFNJ_05089	1	321	31	321	100	10.19	36.4	50.8
PNFGHFNJ_05090	1	294	29	294	100	6.12925	37.9	58.6
PNFGHFNJ_05091	1	321	18	321	100	8.97819	37.5	60
PNFGHFNJ_05092	1	123	8	123	100	5.6748	35.3	60
PNFGHFNJ_05093	1	441	40	441	100	10.39	37.6	55.8
PNFGHFNJ_05094	1	411	36	411	100	5.41849	37.1	56.1
PNFGHFNJ_05095	1	438	41	438	100	7.5274	35.2	46.1
PNFGHFNJ_05096	1	552	32	552	100	6.35507	36.4	58.1
PNFGHFNJ_05097	1	306	28	306	100	5.08497	36.6	52.1
PNFGHFNJ_05098	1	483	28	483	100	5.83023	37.1	55.6
PNFGHFNJ_05099	1	798	76	798	100	9.61905	36.1	56.2
PNFGHFNJ_05100	1	243	30	243	100	10.7078	37.9	50.2
PNFGHFNJ_05101	1	165	28	165	100	8.14545	37.6	23.3
PNFGHFNJ_05102	1	153	162	153	100	30.5294	37.8	25.5
PNFGHFNJ_05103	1	153	22	153	100	8.43137	35.5	45.2
PNFGHFNJ_05104	1	396	33	396	100	9.23232	37.1	57.3
PNFGHFNJ_05105	1	168	10	168	100	4.04762	37.3	57.2
PNFGHFNJ_05106	1	405	34	405	100	7.05679	36.4	57.9
PNFGHFNJ_05107	1	417	68	417	100	8.71223	36.9	45.2
PNFGHFNJ_05108	1	288	7	288	100	3.05903	36.3	59.1
PNFGHFNJ_05109	1	207	28	207	100	4.58937	36.1	47.6
PNFGHFNJ_05110	1	543	48	543	100	9.03499	36.9	58.2
